City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Tateyama,JP,2022-06-06 00:31:59,34.9833,139.8667,65.1,91,100,24.47
245,Talnakh,RU,2022-06-06 00:31:59,69.4865,88.3972,31.21,69,27,1.52
246,Goderich,CA,2022-06-06 00:32:00,43.7501,-81.7165,59.32,82,100,4.61
247,Nsoko,SZ,2022-06-06 00:32:00,-27.0333,31.95,59.56,95,66,4.45
248,Sokolovyy,RU,2022-06-06 00:32:00,51.5686,45.8331,60.91,88,100,3.06
249,Lufilufi,WS,2022-06-06 00:32:01,-13.8745,-171.5986,89.38,73,9,11.36
250,Olinda,BR,2022-06-06 00:32:01,-8.0089,-34.8553,76.73,83,20,4.61
251,Vernon,CA,2022-06-06 00:32:01,50.2581,-119.2691,68.23,64,74,1.14
252,Luderitz,NA,2022-06-06 00:32:02,-26.6481,15.1594,69.49,27,0,15.55
253,Boa Vista,BR,2022-06-06 00:32:02,2.8197,-60.6733,80.58,78,40,2.3
254,Papara,BR,2022-06-06 00:32:03,-3.9839,-38.7273,75.6,95,100,3.24
255,Alyangula,AU,2022-06-06 00:32:03,-13.8483,136.4192,83.07,69,100,9.28
256,Champerico,GT,2022-06-06 00:32:03,14.3,-91.9167,77.54,78,93,7.34
257,Bijie,CN,2022-06-06 00:32:04,27.3125,105.2942,64.81,67,100,6.58
258,Bedesa,ET,2022-06-06 00:32:04,8.9,40.7833,64.69,68,100,4.32
259,Esperance,AU,2022-06-06 00:32:04,-33.8667,121.9,56.21,68,100,6.87
260,Camacha,PT,2022-06-06 00:32:05,33.0833,-16.3333,62.02,77,20,6.91
261,Hambantota,LK,2022-06-06 00:32:05,6.1241,81.1185,77.34,100,20,10.36
262,Labuhan,ID,2022-06-06 00:32:05,-6.8844,112.2051,80.51,82,99,7.56
263,Severo-Yeniseyskiy,RU,2022-06-06 00:32:06,60.3725,93.0408,46.09,56,99,2.48
264,Agirish,RU,2022-06-06 00:32:06,61.9247,63.0231,43.05,51,5,4.0
265,Bauchi,NG,2022-06-06 00:32:06,10.5,10.0,75.02,59,93,2.42
266,Irondequoit,US,2022-06-06 00:31:06,43.2134,-77.5797,66.6,55,79,4.5
267,Shawnee,US,2022-06-06 00:32:07,39.05,-95.7669,76.86,72,40,6.91
268,Lorengau,PG,2022-06-06 00:32:07,-2.0226,147.2712,84.97,60,34,6.64
269,Fare,PF,2022-06-06 00:32:07,-16.7,-151.0167,80.01,75,18,16.53
270,Anadyr,RU,2022-06-06 00:32:08,64.75,177.4833,46.9,81,75,15.66
271,Ust-Nera,RU,2022-06-06 00:32:08,64.5667,143.2,69.12,38,22,7.85
272,Benghazi,LY,2022-06-06 00:32:09,32.1167,20.0667,74.68,76,0,7.2
273,Harper,LR,2022-06-06 00:32:09,4.375,-7.7169,77.94,86,100,6.98
274,Norman Wells,CA,2022-06-06 00:32:09,65.282,-126.8329,48.24,57,75,3.44
275,Sooke,CA,2022-06-06 00:32:10,48.3746,-123.7276,61.3,69,88,33.38
276,Farah,AF,2022-06-06 00:32:10,32.5,62.5,70.18,18,0,4.16
277,Hanmer Springs,NZ,2022-06-06 00:32:10,-42.5167,172.8167,54.72,80,94,4.61
278,Launceston,AU,2022-06-06 00:32:11,-41.45,147.1667,51.62,76,40,9.22
279,San Cristobal,VE,2022-06-06 00:32:11,7.7669,-72.225,71.78,98,100,3.06
280,Kutum,SD,2022-06-06 00:33:12,14.2,24.6667,78.8,17,100,12.64
281,Khani,GE,2022-06-06 00:33:12,41.9563,42.9566,54.97,96,31,1.61
282,Palu,ID,2022-06-06 00:33:12,-0.8917,119.8707,85.15,67,79,2.48
283,Beya,RU,2022-06-06 00:33:13,53.0533,90.9139,45.0,88,100,16.15
284,Pacific Grove,US,2022-06-06 00:33:13,36.6177,-121.9166,75.34,82,75,10.36
285,Zhanaozen,KZ,2022-06-06 00:33:13,43.3,52.8,76.15,23,75,5.75
286,Mathathane,BW,2022-06-06 00:33:14,-22.2687,28.7495,54.97,81,26,7.63
287,Porto Velho,BR,2022-06-06 00:33:14,-8.7619,-63.9039,75.25,94,0,1.14
288,Karaton,ID,2022-06-06 00:33:15,-6.3424,106.1045,72.32,95,100,0.74
289,Ube,JP,2022-06-06 00:33:15,33.9431,131.2511,67.98,93,75,5.75
290,Banda Aceh,ID,2022-06-06 00:33:15,5.5577,95.3222,81.59,76,85,6.62
291,Komsomolskiy,UZ,2022-06-06 00:33:16,40.4272,71.7189,68.72,45,0,4.61
